John Hopkins,WHO,Coutnry,Pop,,,,,
,Saudi Arabia,,,,,,,
,Senegal,,,,,,,
,Senegal Democratic Republic,,,,,,,
,Serbia,,,,,,,
,Seychelles,,,,,,,
,Sierra Leone,,,,,,,
,Sierra Leone Central African,,,,,,,
,Singapore,,,,,,,
,Sint Maarten,,,,,,,
,Sint Maarten United States Virgin,,,,,,,
,Slovakia,,,,,,,
,Slovakia Bosnia and,,,,,,,
,Slovenia,,,,,,,
,Slovenia Bosnia and,,,,,,,
,Somalia,,,,,,,
,South Africa,,,,,,,
,South Africa transmission,,,,,,,
,South Sudan,,,,,,,
,Spain,,,,,,,
,Spain the United,,,,,,,
,Sri Lanka,,,,,,,
,State of),,,,,,,
,State of) Venezuela (Bolivarian,,,,,,,
,Sudan,,,,,,,
,Suriname,,,,,,,
,Sweden,,,,,,,
,Switzerland,,,,,,,
,Switzerland transmission,,,,,,,
,Syrian Arab Republic,,,,,,,
,Syrian Arab Republic transmission,,,,,,,
,São Tomé and Príncipe,,,,,,,
,Tanzania,,,,,,,
,Thailand,,,,,,,
,the Congo,,,,,,,
,the United Kingdom,,,,,,,
,the United Kingdom¶,,,,,,,
,the United States,,,,,,,
,Timor-Leste,,,,,,,
,Togo,,,,,,,
,Trinidad and Tobago,,,,,,,
,Trinidad and Tobago Bolivia (Plurinational,,,,,,,
,Tunisia,,,,,,,
,Tunisia transmission,,,,,,,
,Turkey,,,,,,,
,Turkey transmission,,,,,,,
,Turks and Caicos Islands,,,,,,,
,Uganda,,,,,,,
,Uganda United Republic of,,,,,,,
,UK,,,,,,,
,Ukraine,,,,,,,
,United Arab Emirates,,,,,,,
,United Republic of Tanzania,,,,,,,
,United States Virgin Islands,,,,,,,
,Uruguay,,,,,,,
,Uruguay Bolivia (Plurinational,,,,,,,
,USA,,,,,,,
,Uzbekistan,,,,,,,
,Venezuela (Bolivarian Republic of),,,,,,,
,Viet Nam,,,,,,,
,Yemen,,,,,,,
,Zambia,,,,,,,
,Zimbabwe,,,,,,,
,Zimbabwe Central African,,,,,,,
