# 感染拡大前比	神奈川県 横浜中華街駅	神奈川県 横浜駅	神奈川県 川崎駅	千葉県 千葉駅	千葉県 船橋駅	東京都 立川駅	東京都 銀座	神奈川県 橋本駅	栃木県 宇都宮オリオン通り	埼玉県 大宮駅西	東京都 東京駅南	東京都 新宿駅	栃木県 宇都宮駅	神奈川県 みなとみらい	東京都 丸の内	東京都 霞が関	東京都 羽田空港 第1ターミナル	東京都 渋谷センター街	東京都 大手町	東京都 品川駅	東京都 羽田空港 第2ターミナル	東京都 東京駅
2020/06/17	-24.3571428571429	-13.3428571428571	-7.91428571428571	-8.88571428571428	-14.5285714285714	-17.2285714285714	-25.2571428571429	-14.7142857142857	-15.0714285714286	-19.6714285714286	-42.9571428571429	-25.5285714285714	-25.2714285714286	-39.6857142857143	-51.5428571428571	-39	-52.7	-34.7857142857143	-49.8714285714286	-49.0285714285714	-60.9714285714286	-49.1571428571429
2020/06/18	-23.9285714285714	-12.5428571428571	-7.71428571428571	-8.08571428571429	-14.6571428571429	-16.9428571428571	-24.6285714285714	-14.2857142857143	-15.1	-19.0142857142857	-42.5	-24.7714285714286	-24.8	-39	-51.0285714285714	-38.5714285714286	-52.2142857142857	-34.2857142857143	-49.4857142857143	-48.7285714285714	-61.2	-48.6571428571429
2020/06/19	-22.9285714285714	-11.3714285714286	-7.3	-7.85714285714286	-13.2714285714286	-16.1428571428571	-24.0571428571429	-14.0285714285714	-14.2571428571429	-18.3428571428571	-42	-24.1142857142857	-24.2428571428571	-38.2428571428571	-50.3857142857143	-38.1857142857143	-52.2	-33.4428571428571	-49	-48.2571428571429	-61.4	-48.2571428571429
2020/06/20	-23.1714285714286	-11.3714285714286	-6.78571428571429	-8	-13.4714285714286	-15.9	-23.4857142857143	-14.2428571428571	-14.1428571428571	-18.5285714285714	-41.6	-23.8857142857143	-23.4285714285714	-38.0142857142857	-50.1857142857143	-37.8	-51.3428571428571	-33.3857142857143	-48.7	-48.0285714285714	-60.0857142857143	-47.7857142857143
2020/06/21	-20.2142857142857	-9.57142857142857	-5.31428571428571	-6.3	-11.9857142857143	-14.7571428571429	-21.2428571428571	-13.8571428571429	-12.8142857142857	-17.2428571428571	-39.6571428571429	-22.4714285714286	-21.7571428571429	-35.4857142857143	-48.2428571428571	-36.0285714285714	-50.2	-31.6285714285714	-47.6714285714286	-46.6857142857143	-59.2285714285714	-46.7285714285714
2020/06/22	-18.2428571428571	-8.81428571428571	-5.42857142857143	-5.34285714285714	-11.5714285714286	-14.2857142857143	-20.3714285714286	-14.2285714285714	-12.0857142857143	-16.7857142857143	-38.8428571428571	-22.1142857142857	-20.4142857142857	-34.3	-47.4	-35.7	-48.9714285714286	-31.0142857142857	-47.1714285714286	-46.2857142857143	-59.0571428571429	-46.1428571428571
2020/06/23	-18.5142857142857	-8.88571428571429	-5.94285714285714	-6.55714285714286	-11.9714285714286	-14.9142857142857	-20.2428571428571	-14.4857142857143	-12.4	-17.2142857142857	-38.7	-22.3857142857143	-20.2142857142857	-34.3857142857143	-47.3857142857143	-35.3571428571429	-47.7428571428571	-31.2857142857143	-46.9142857142857	-46.1285714285714	-58.1142857142857	-45.7857142857143
2020/06/24	-18.0428571428571	-8.54285714285714	-6.11428571428571	-6.77142857142857	-11.2571428571429	-14.8714285714286	-19.9428571428571	-14.4571428571429	-11.7857142857143	-17.1	-38.5285714285714	-22.1428571428571	-19.9714285714286	-33.9428571428571	-47.1285714285714	-35	-46.6857142857143	-31.1142857142857	-46.6285714285714	-45.7142857142857	-57.4714285714286	-45.3285714285714
2020/06/25	-17.6571428571429	-7.51428571428572	-6.14285714285714	-7.04285714285714	-11.2	-14.6428571428571	-19.7714285714286	-14.3714285714286	-11.6857142857143	-17.2	-38.0857142857143	-22.0857142857143	-20.1571428571429	-33.9714285714286	-46.9142857142857	-34.6714285714286	-45.7	-30.8142857142857	-46.4	-45.4428571428571	-57.0142857142857	-45.0285714285714
2020/06/26	-17.6571428571429	-6.78571428571429	-5.97142857142857	-7.12857142857143	-11.8142857142857	-14.2285714285714	-19.5571428571429	-14.0571428571429	-11.7	-17.2428571428571	-37.8571428571429	-21.9142857142857	-19.5142857142857	-34.2857142857143	-46.5285714285714	-34.3142857142857	-44.8285714285714	-30.7142857142857	-46.2571428571429	-45.0285714285714	-56.1285714285714	-44.5857142857143
2020/06/27	-16.2428571428571	-5.22857142857143	-5.34285714285714	-6.07142857142857	-10.9285714285714	-13.3857142857143	-18.9285714285714	-13.3571428571429	-12.1428571428571	-16.6571428571429	-37.5142857142857	-21.0714285714286	-19.2857142857143	-33.4857142857143	-45.9	-33.7714285714286	-43.8285714285714	-29.6857142857143	-45.7285714285714	-44.5857142857143	-56.3142857142857	-43.9714285714286
2020/06/28	-16	-4.37142857142857	-5.42857142857143	-6.1	-10.9571428571429	-13.2	-19.2428571428571	-13.2571428571429	-12.1571428571429	-16.1428571428571	-37.3285714285714	-21.0714285714286	-19.9142857142857	-33.2571428571429	-45.5714285714286	-34.0857142857143	-44.6142857142857	-29.2428571428571	-45.0285714285714	-43.9857142857143	-56.1	-43.7
2020/06/29	-17	-3.58571428571429	-4.91428571428572	-6.22857142857143	-11.1857142857143	-13.3142857142857	-19.5	-11.7285714285714	-12.3428571428571	-16.2142857142857	-37.5285714285714	-21.2	-20.6857142857143	-33.3857142857143	-45.0428571428571	-33.5428571428571	-44.5857142857143	-29.0571428571429	-44.5571428571429	-43.3428571428571	-56.2285714285714	-43.4857142857143
